Alaska, Average Temperature
196210,27.6
196211,12.6
196212,4.8
196301,10.7
196302,8.5
196303,9.6
196304,21.6
196305,39.6
196306,46.0
196307,51.8
196308,49.2
196309,42.6
196310,24.7
196311,1.7
196312,12.7
196401,-0.1
196402,2.6
196403,3.2
196404,19.1
196405,31.7
196406,49.5
196407,52.2
196408,49.3
196409,41.5
196410,27.7
196411,11.3
196412,-8.9
196501,-1.8
196502,-4.4
196503,23.0
196504,24.8
196505,33.1
196506,46.3
196507,51.1
196508,47.8
196509,43.4
196510,18.7
196511,14.6
196512,-0.2
196601,-2.2
196602,4.6
196603,1.3
196604,20.8
196605,33.9
196606,49.7
196607,51.8
196608,48.5
196609,41.9
196610,23.0
196611,12.3
196612,-0.5
196701,1.0
196702,4.3
196703,15.1
196704,26.3
196705,37.9
196706,50.2
196707,52.0
196708,50.5
196709,41.4
196710,24.5
196711,15.4
196712,6.1
196801,2.4
196802,2.5
196803,14.6
196804,21.3
196805,37.5
196806,48.5
196807,55.0
196808,51.8
196809,38.4
196810,23.4
196811,12.1
196812,-2.9
196901,-4.9
196902,3.2
196903,13.6
196904,27.4
196905,40.5
196906,51.6
196907,51.1
196908,44.8
196909,42.5
196910,31.5
196911,8.6
196912,14.5
197001,-6.2
197002,12.6
197003,16.9
197004,22.0
197005,38.6
197006,47.6
197007,51.0
197008,48.0
197009,36.5
197010,18.9
197011,16.1
197012,0.9
197101,-11.8
197102,-1.0
197103,1.0
197104,18.3
197105,34.0
197106,49.4
197107,52.0
197108,48.8
197109,39.6
197110,23.9
197111,9.1
197112,4.0
197201,-4.5
197202,-2.0
197203,-1.1
197204,14.9
197205,36.5
197206,47.4
197207,54.9
197208,51.7
197209,38.7
197210,27.3
197211,13.5
197212,5.4
197301,-6.3
197302,5.8
197303,8.7
197304,24.1
197305,37.5
197306,47.9
197307,51.0
197308,47.6
197309,40.9
197310,23.8
197311,7.6
197312,6.6
197401,-2.4
197402,-8.0
197403,8.7
197404,23.8
197405,39.1
197406,47.6
197407,52.1
197408,51.5
197409,44.3
197410,22.0
197411,7.9
197412,-2.6
197501,-4.5
197502,1.0
197503,10.6
197504,19.8
197505,37.1
197506,46.7
197507,52.9
197508,49.1
197509,39.4
197510,23.9
197511,2.7
197512,-2.4
197601,1.0
197602,-4.0
197603,9.7
197604,23.1
197605,36.6
197606,48.2
197607,52.5
197608,51.7
197609,41.7
197610,24.8
197611,18.6
197612,5.9
197701,17.4
197702,15.1
197703,5.6
197704,18.2
197705,36.6
197706,49.6
197707,54.3
197708,54.5
197709,42.4
197710,26.1
197711,4.2
197712,-0.1
197801,12.8
197802,10.2
197803,13.7
197804,26.5
197805,39.5
197806,46.9
197807,53.4
197808,52.1
197809,42.6
197810,24.0
197811,17.0
197812,10.2
197901,10.3
197902,-7.6
197903,14.2
197904,25.3
197905,40.9
197906,48.4
197907,53.5
197908,52.8
197909,42.4
197910,31.0
197911,22.5
197912,-2.7
198001,-1.7
198002,12.7
198003,15.8
198004,26.2
198005,39.6
198006,48.3
198007,52.8
198008,48.0
198009,38.8
198010,28.4
198011,16.0
198012,-7.5
198101,20.1
198102,9.0
198103,21.9
198104,24.4
198105,43.0
198106,48.8
198107,50.9
198108,48.7
198109,38.8
198110,26.7
198111,13.6
198112,4.5
198201,-1.4
198202,5.1
198203,12.8
198204,19.3
198205,35.2
198206,48.9
198207,52.6
198208,49.6
198209,41.5
198210,19.2
198211,11.2
198212,9.5
198301,-1.0
198302,7.6
198303,13.2
198304,26.7
198305,39.2
198306,50.2
198307,53.6
198308,47.7
198309,36.8
198310,22.0
198311,16.3
198312,10.0
198401,3.1
198402,-7.0
198403,17.9
198404,19.3
198405,36.2
198406,50.4
198407,52.0
198408,48.0
198409,42.1
198410,25.6
198411,8.6
198412,6.8
198501,18.8
198502,-0.2
198503,12.8
198504,12.6
198505,35.9
198506,46.8
198507,53.4
198508,49.0
198509,39.7
198510,20.7
198511,8.7
198512,17.3
198601,5.8
198602,10.7
198603,8.1
198604,16.9
198605,36.9
198606,50.0
198607,53.2
198608,47.6
198609,41.6
198610,25.9
198611,10.9
198612,15.5
198701,8.6
198702,8.3
198703,13.3
198704,22.7
198705,38.4
198706,49.0
198707,53.7
198708,51.1
198709,38.7
198710,30.2
198711,12.2
198712,4.2
198801,7.6
198802,8.9
198803,13.8
198804,24.8
198805,40.3
198806,50.2
198807,54.5
198808,49.8
198809,39.9
198810,20.6
198811,5.3
198812,9.8
198901,-11.9
198902,14.8
198903,10.8
198904,28.4
198905,37.4
198906,49.7
198907,54.5
198908,52.7
198909,43.5
198910,26.0
198911,4.1
198912,11.2
199001,-1.5
199002,-11.4
199003,15.8
199004,29.8
199005,42.7
199006,50.8
199007,55.3
199008,52.2
199009,40.1
199010,24.0
199011,4.7
199012,2.2
199101,4.0
199102,4.5
199103,12.0
199104,26.8
199105,40.7
199106,51.5
199107,52.3
199108,48.6
199109,43.4
199110,26.6
199111,9.9
199112,3.3
199201,6.5
199202,0.3
199203,12.8
199204,22.6
199205,33.9
199206,50.6
199207,54.6
199208,49.6
199209,31.6
199210,20.9
199211,13.8
199212,3.2
199301,3.2
199302,10.6
199303,16.7
199304,30.4
199305,42.2
199306,51.5
199307,56.8
199308,50.1
199309,39.7
199310,29.9
199311,15.8
199312,11.9
199401,7.4
199402,4.1
199403,9.0
199404,25.6
199405,40.3
199406,49.4
199407,54.4
199408,51.8
199409,39.8
199410,22.8
199411,6.9
199412,2.8
199501,5.0
199502,8.4
199503,6.5
199504,30.0
199505,42.7
199506,49.8
199507,53.8
199508,49.6
199509,45.9
199510,27.0
199511,9.0
199512,5.6
199601,-2.4
199602,4.0
199603,17.7
199604,23.7
199605,40.4
199606,49.6
199607,53.6
199608,47.4
199609,37.3
199610,17.1
199611,11.6
199612,0.9
199701,-0.3
199702,15.1
199703,7.7
199704,27.5
199705,41.0
199706,52.2
199707,55.4
199708,52.2
199709,44.6
199710,20.3
199711,18.1
199712,3.7
199801,0.6
199802,10.4
199803,20.2
199804,30.6
199805,39.2
199806,49.9
199807,54.8
199808,47.7
199809,41.6
199810,27.4
199811,15.0
199812,3.8
199901,-3.3
199902,-3.7
199903,9.1
199904,23.6
199905,37.4
199906,51.0
199907,53.2
199908,51.1
199909,41.9
199910,22.8
199911,8.0
199912,-2.6
200001,0.7
200002,16.2
200003,17.2
200004,24.5
200005,35.4
200006,51.2
200007,51.8
200008,47.4
200009,38.6
200010,24.8
200011,18.2
200012,14.5
200101,15.7
200102,14.7
200103,12.0
200104,25.1
200105,32.7
200106,50.8
200107,52.1
200108,50.4
200109,42.4
200110,21.8
200111,9.7
200112,0.6
200201,9.5
200202,8.7
200203,15.4
200204,21.5
200205,41.1
200206,50.0
200207,53.4
200208,49.2
200209,42.7
200210,31.8
200211,24.1
200212,13.6
200301,10.2
200302,16.5
200303,11.0
200304,27.8
200305,38.4
200306,51.2
200307,53.5
200308,50.6
200309,39.0
200310,31.7
200311,14.8
200312,4.6
200401,-0.4
200402,10.1
200403,10.0
200404,28.7
200405,43.2
200406,55.1
200407,57.3
200408,55.3
200409,37.4
200410,29.5
200411,16.9
200412,8.8
200501,6.7
200502,8.0
200503,18.5
200504,24.5
200505,43.7
200506,52.5
200507,54.4
200508,52.6
200509,42.9
200510,27.4
200511,5.1
200512,13.9
200601,-4.7
200602,12.4
200603,7.7
200604,20.8
200605,40.0
200606,49.1
200607,53.0
200608,48.3
200609,44.3
200610,31.6
200611,6.2
200612,8.1
200701,5.5
200702,6.1
200703,-0.2
200704,29.9
200705,39.4
200706,51.0
200707,55.5
200708,53.2
200709,43.5
200710,25.3
200711,19.8
200712,8.0
200801,0.4
200802,1.7
200803,12.6
200804,23.0
200805,39.1
200806,48.8
200807,51.2
200808,48.4
200809,41.2
200810,18.9
200811,9.6
200812,6.0
200901,-0.2
200902,5.1
200903,7.1
200904,24.1
200905,40.4
200906,49.8
200907,56.1
200908,49.0
200909,41.6
200910,30.5
200911,7.4
200912,10.2
201001,1.5
201002,10.8
201003,9.8
201004,26.9
201005,41.3
201006,49.5
201007,52.1
201008,51.5
201009,42.8
201010,27.6
201011,17.7
201012,-2.4
201101,7.0
201102,6.0
201103,11.9
201104,23.2
201105,40.5
201106,49.8
201107,52.1
201108,49.0
201109,42.4
201110,28.5
201111,3.6
201112,9.4
201201,-12.8
201202,12.1
201203,4.3
201204,27.3
201205,37.2
201206,50.4
201207,52.0
201208,49.9
201209,40.6
201210,25.5
201211,6.0
201212,-0.8
201301,9.8
201302,6.3
201303,11.0
201304,16.7
201305,35.2
201306,53.9
201307,55.0
201308,51.4
201309,39.6
201310,34.0
201311,13.7
201312,7.0
201401,18.4
201402,6.7
201403,14.1
201404,27.4
201405,41.9
201406,48.1
201407,52.7
201408,52.0
201409,42.3
201410,25.8
201411,19.6
201412,15.0
201501,7.1
201502,12.6
201503,15.9
201504,28.2
201505,44.8
201506,52.3
201507,54.2
201508,49.3
201509,38.9
201510,31.6
201511,17.2
201512,8.3
201601,17.2
201602,17.3
201603,18.7
201604,33.3
201605,44.0
201606,51.8
201607,55.6
201608,53.2
201609,42.3
201610,29.7
201611,13.3
201612,6.2
201701,4.5
201702,6.6
201703,4.9
201704,29.6
201705,40.8
201706,51.4
201707,56.2
201708,50.2
201709,42.6
201710,30.2
201711,15.8
201712,19.1
201801,6.7
201802,12.6
201803,18.0
201804,26.8
201805,39.4
201806,50.0
201807,55.6
201808,49.6
201809,44.3
201810,33.8
201811,19.1
201812,9.1
201901,7.5
201902,15.5
201903,26.5
201904,28.5
201905,43.0
201906,54.0
201907,58.1
201908,51.5
201909,44.4
201910,30.8
201911,19.8
201912,6.7
202001,-6.5
202002,1.4
202003,11.9
202004,27.5
202005,43.3
202006,50.5
202007,53.2
202008,52.1
202009,42.0
202010,28.9
202011,14.4
202012,10.5
202101,10.7
202102,0.8
202103,9.1
202104,23.8
202105,40.3
202106,51.0
202107,53.9
202108,49.4
202109,39.3
